value,segments,language,borrowing_score,age_label
kupu-kupu,"['k', 'u', 'p', 'u', '+', 'k', 'u', 'p', 'u']",Indonesian,0.0,Prehistorical
rama-rama,"['r', 'a', 'm', 'a', '+', 'r', 'a', 'm', 'a']",Indonesian,0.0,Prehistorical
belalang,"['b', 'e', 'l', 'a', 'l', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
siput,"['s', 'i', 'p', 'u', 't']",Indonesian,0.0,Prehistorical
kéong,"['k', 'é/e', 'o', 'ŋ']",Indonesian,1.0,Modern
bekicot,"['b', 'e', 'k', 'i', 'tʃ', 'o', 't']",Indonesian,1.0,Modern
kodok,"['k', 'o', 'd', 'o', 'ʔ']",Indonesian,1.0,Modern
katak,"['k', 'a', 't', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
kadal,"['k', 'a', 'd', 'a', 'l']",Indonesian,1.0,Modern
cicak,"['tʃ', 'i', 'tʃ', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
buaya,"['b', 'u', 'a', 'j', 'a']",Indonesian,0.0,Prehistorical
kura-kura,"['k', 'u', 'r', 'a', '+', 'k', 'u', 'r', 'a']",Indonesian,0.0,Prehistorical
badan,"['b', 'a', 'd', 'a', 'n']",Indonesian,1.0,Early Malay
tubuh,"['t', 'u', 'b', 'u', 'h']",Indonesian,0.0,Prehistorical
kulit,"['k', 'u', 'l', 'i', 't']",Indonesian,0.0,Prehistorical
belulang,"['b', 'e', 'l', 'u', 'l', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
daging,"['d', 'a', 'g', 'i', 'ŋ']",Indonesian,0.5,Early Malay
rambut,"['r', 'a', 'm', 'b', 'u', 't']",Indonesian,0.5,Early Malay
jénggot,"['dʒ', 'é/e', 'ŋ', 'g', 'o', 't']",Indonesian,1.0,Modern
janggut,"['dʒ', 'a', 'ŋ', 'g', 'u', 't']",Indonesian,0.0,Prehistorical
bréwok,"['b', 'r', 'é/e', 'w', 'o', 'ʔ']",Indonesian,1.0,Modern
bulu,"['b', 'u', 'l', 'u']",Indonesian,0.0,Prehistorical
jambut,"['dʒ', 'a', 'm', 'b', 'u', 't']",Indonesian,1.0,Modern
ketombé,"['k', 'e', 't', 'o', 'm', 'b', 'é/e']",Indonesian,1.0,Modern
darah,"['d', 'a', 'r', 'a', 'h']",Indonesian,0.0,Prehistorical
pembuluh (darah),"['p', 'e', 'm', 'b', 'u', 'l', 'u', 'h', '+', 'd', 'a', 'r', 'a', 'h']",Indonesian,0.0,Modern
urat,"['u', 'r', 'a', 't']",Indonesian,0.0,Prehistorical
arteri,"['a', 'r', 't', 'e', 'r', 'i']",Indonesian,1.0,Modern
tulang,"['t', 'u', 'l', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
rusuk,"['r', 'u', 's', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
iga,"['i', 'g', 'a']",Indonesian,1.0,Prehistorical
tanduk,"['t', 'a', 'n', 'd', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
ékor,"['é/e', 'k', 'o', 'r']",Indonesian,0.0,Prehistorical
buntut,"['b', 'u', 'n', 't', 'u', 't']",Indonesian,0.75,Modern
punggung,"['p', 'u', 'ŋ', 'g', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
belakang,"['b', 'e', 'l', 'a', 'k', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
pinggang,"['p', 'i', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
tulang belakang,"['t', 'u', 'l', 'a', 'ŋ', '+', 'b', 'e', 'l', 'a', 'k', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
kepala,"['k', 'e', 'p', 'a', 'l', 'a']",Indonesian,1.0,Early Malay
pelipis,"['p', 'e', 'l', 'i', 'p', 'i', 's']",Indonesian,0.0,Prehistorical
tengkorak,"['t', 'e', 'ŋ', 'k', 'o', 'r', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
otak,"['o', 't', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
muka,"['m', 'u', 'k', 'a']",Indonesian,1.0,Early Malay
wajah,"['w', 'a', 'dʒ', 'a', 'h']",Indonesian,1.0,Early Malay
dahi,"['d', 'a', 'h', 'i']",Indonesian,0.0,Prehistorical
rahang,"['r', 'a', 'h', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
pipi,"['p', 'i', 'p', 'i']",Indonesian,0.0,Prehistorical
dagu,"['d', 'a', 'g', 'u']",Indonesian,0.0,Prehistorical
mata,"['m', 'a', 't', 'a']",Indonesian,0.0,Prehistorical
alis (mata),"['a', 'l', 'i', 's', '+', 'm', 'a', 't', 'a']",Indonesian,0.0,Prehistorical
kelopak mata,"['k', 'e', 'l', 'o', 'p', 'a', 'k', '+', 'm', 'a', 't', 'a']",Indonesian,0.0,Prehistorical
bulu mata,"['b', 'u', 'l', 'u', '+', 'm', 'a', 't', 'a']",Indonesian,0.0,Prehistorical
berkedip,"['b', 'e', 'r', 'k', 'e', 'd', 'i', 'p']",Indonesian,0.0,Prehistorical
telinga,"['t', 'e', 'l', 'i', 'ŋ', 'a']",Indonesian,0.0,Prehistorical
kuping,"['k', 'u', 'p', 'i', 'ŋ']",Indonesian,1.0,Modern
cuping,"['tʃ', 'u', 'p', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
kotoran telinga,"['k', 'o', 't', 'o', 'r', 'a', 'n', '+', 't', 'e', 'l', 'i', 'ŋ', 'a']",Indonesian,0.0,Prehistorical
tahi kuping,"['t', 'a', 'h', 'i', '+', 'k', 'u', 'p', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
hidung,"['h', 'i', 'd', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
lubang hidung,"['l', 'u', 'b', 'a', 'ŋ', '+', 'h', 'i', 'd', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
rongga hidung,"['r', 'o', 'ŋ', 'g', 'a', '+', 'h', 'i', 'd', 'u', 'ŋ']",Indonesian,0.0,Early Malay
ingus,"['i', 'ŋ', 'u', 's']",Indonesian,0.0,Prehistorical
mulut,"['m', 'u', 'l', 'u', 't']",Indonesian,0.0,Prehistorical
paruh,"['p', 'a', 'r', 'u', 'h']",Indonesian,0.0,Prehistorical
bibir,"['b', 'i', 'b', 'i', 'r']",Indonesian,0.0,Prehistorical
lidah,"['l', 'i', 'd', 'a', 'h']",Indonesian,0.0,Prehistorical
gigi,"['g', 'i', 'g', 'i']",Indonesian,0.0,Prehistorical
gusi,"['g', 'u', 's', 'i']",Indonesian,0.0,Prehistorical
(gigi) geraham,"['g', 'i', 'g', 'i', '+', 'g', 'e', 'r', 'a', 'h', 'a', 'm']",Indonesian,0.25,Prehistorical
léhér,"['l', 'é/e', 'h', 'é/e', 'r']",Indonesian,0.0,Prehistorical
tengkuk,"['t', 'e', 'ŋ', 'k', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
tenggorokan,"['t', 'e', 'ŋ', 'g', 'o', 'r', 'o', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
kerongkongan,"['k', 'e', 'r', 'o', 'ŋ', 'k', 'o', 'ŋ', 'a', 'n']",Indonesian,0.75,Modern
bahu,"['b', 'a', 'h', 'u']",Indonesian,0.75,Early Malay
pundak,"['p', 'u', 'n', 'd', 'a', 'ʔ']",Indonesian,1.0,Modern
tulang belikat,"['t', 'u', 'l', 'a', 'ŋ', '+', 'b', 'e', 'l', 'i', 'k', 'a', 't']",Indonesian,0.0,Prehistorical
tulang selangka,"['t', 'u', 'l', 'a', 'ŋ', '+', 's', 'e', 'l', 'a', 'ŋ', 'k', 'a']",Indonesian,0.0,Prehistorical
lengan,"['l', 'e', 'ŋ', 'a', 'n']",Indonesian,0.0,Prehistorical
ketiak,"['k', 'e', 't', 'i', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
kéték,"['k', 'é/e', 't', 'é/e', 'ʔ']",Indonesian,1.0,Modern
siku,"['s', 'i', 'k', 'u']",Indonesian,0.0,Prehistorical
pergelangan tangan,"['p', 'e', 'r', 'g', 'e', 'l', 'a', 'ŋ', 'a', 'n', '+', 't', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0,Modern
tangan,"['t', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0,Prehistorical
tapak/telapak tangan,"['t', 'a', 'p', 'a', 'k', '+', 't', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0,Prehistorical
jari,"['dʒ', 'a', 'r', 'i']",Indonesian,0.0,Prehistorical
jempol,"['dʒ', 'e', 'm', 'p', 'o', 'l']",Indonesian,1.0,Modern
ibu jari,"['i', 'b', 'u', '+', 'dʒ', 'a', 'r', 'i']",Indonesian,0.0,Early Malay
kuku,"['k', 'u', 'k', 'u']",Indonesian,0.0,Prehistorical
cakar,"['tʃ', 'a', 'k', 'a', 'r']",Indonesian,0.0,Prehistorical
kaki,"['k', 'a', 'k', 'i']",Indonesian,0.0,Prehistorical
paha,"['p', 'a', 'h', 'a']",Indonesian,0.0,Prehistorical
betis,"['b', 'e', 't', 'i', 's']",Indonesian,0.0,Prehistorical
lutut,"['l', 'u', 't', 'u', 't']",Indonesian,0.0,Prehistorical
kaki,"['k', 'a', 'k', 'i']",Indonesian,0.0,Prehistorical
mata kaki,"['m', 'a', 't', 'a', '+', 'k', 'a', 'k', 'i']",Indonesian,0.0,Prehistorical
tumit,"['t', 'u', 'm', 'i', 't']",Indonesian,0.0,Prehistorical
jejak,"['dʒ', 'e', 'dʒ', 'a', 'ʔ']",Indonesian,0.25,Prehistorical
jari kaki,"['dʒ', 'a', 'r', 'i', '+', 'k', 'a', 'k', 'i']",Indonesian,0.0,Prehistorical
sayap,"['s', 'a', 'j', 'a', 'p']",Indonesian,0.0,Prehistorical
bulu (burung),"['b', 'u', 'l', 'u', '+', 'b', 'u', 'r', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
dada,"['d', 'a', 'd', 'a']",Indonesian,0.0,Prehistorical
susu (1),"['s', 'u', 's', 'u']",Indonesian,0.0,Prehistorical
payudara,"['p', 'a', 'j', 'u', 'd', 'a', 'r', 'a']",Indonesian,1.0,Modern
puting,"['p', 'u', 't', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
ambing,"['a', 'm', 'b', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
pusar,"['p', 'u', 's', 'a', 'r']",Indonesian,0.75,Modern
jantung,"['dʒ', 'a', 'n', 't', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
paru-paru,"['p', 'a', 'r', 'u', '+', 'p', 'a', 'r', 'u']",Indonesian,0.0,Prehistorical
léver,"['l', 'é/e', 'v', 'e', 'r']",Indonesian,1.0,Modern
hati,"['h', 'a', 't', 'i']",Indonesian,0.0,Prehistorical
ginjal,"['g', 'i', 'ɲ', 'a', 'l']",Indonesian,0.0,Prehistorical
limpa,"['l', 'i', 'm', 'p', 'a']",Indonesian,0.0,Prehistorical
lambung,"['l', 'a', 'm', 'b', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
maag,"['m', 'aː', 'g']",Indonesian,1.0,Modern
perut,"['p', 'e', 'r', 'u', 't']",Indonesian,0.0,Prehistorical
usus,"['u', 's', 'u', 's']",Indonesian,0.75,Modern
pinggang,"['p', 'i', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
pinggul,"['p', 'i', 'ŋ', 'g', 'u', 'l']",Indonesian,0.0,Prehistorical
pantat,"['p', 'a', 'n', 't', 'a', 't']",Indonesian,0.0,Prehistorical
rahim,"['r', 'a', 'h', 'i', 'm']",Indonesian,1.0,Early Malay
"kandung, kandungan","['k', 'a', 'n', 'd', 'u', 'ŋ']",Indonesian,0.5,Modern
biji kemaluan,"['b', 'i', 'dʒ', 'i', '+', 'k', 'e', 'm', 'a', 'l', 'u', 'a', 'n']",Indonesian,0.0,Modern
buah pelir,"['b', 'u', 'a', 'h', '+', 'p', 'e', 'l', 'i', 'r']",Indonesian,0.0,Prehistorical
testis,"['t', 'e', 's', 't', 'i', 's']",Indonesian,1.0,Modern
pénis,"['p', 'é/e', 'n', 'i', 's']",Indonesian,1.0,Modern
kontol,"['k', 'o', 'n', 't', 'o', 'l']",Indonesian,0.75,Modern
pelir,"['p', 'e', 'l', 'i', 'r']",Indonesian,0.0,Prehistorical
bernafas,"['b', 'e', 'r', 'n', 'a', 'f', 'a', 's']",Indonesian,1.0,Early Malay
menguap,"['m', 'e', 'ŋ', 'u', 'a', 'p']",Indonesian,0.0,Prehistorical
cegukan,"['tʃ', 'e', 'g', 'u', 'k', 'a', 'n']",Indonesian,0.0,Modern
batuk,"['b', 'a', 't', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
bersin,"['b', 'e', 'r', 's', 'i', 'n']",Indonesian,0.0,Prehistorical
berkeringat,"['b', 'e', 'r', 'k', 'e', 'r', 'i', 'ŋ', 'a', 't']",Indonesian,0.0,Prehistorical
meludah,"['m', 'e', 'l', 'u', 'd', 'a', 'h']",Indonesian,0.0,Prehistorical
muntah,"['m', 'u', 'n', 't', 'a', 'h']",Indonesian,0.25,Early Malay
menggigit,"['m', 'e', 'ŋ', 'g', 'i', 'g', 'i', 't']",Indonesian,0.0,Prehistorical
menjilat,"['m', 'e', 'ɲ', 'i', 'l', 'a', 't']",Indonesian,0.0,Prehistorical
berliur,"['b', 'e', 'r', 'l', 'i', 'u', 'r']",Indonesian,0.0,Prehistorical
mengiler,"['m', 'e', 'ŋ', 'i', 'l', 'e', 'r']",Indonesian,1.0,Modern
tidur,"['t', 'i', 'd', 'u', 'r']",Indonesian,0.0,Prehistorical
mendengkur,"['m', 'e', 'n', 'd', 'e', 'ŋ', 'k', 'u', 'r']",Indonesian,0.0,Prehistorical
mimpi,"['m', 'i', 'm', 'p', 'i']",Indonesian,0.0,Prehistorical
bangun,"['b', 'a', 'ŋ', 'u', 'n']",Indonesian,0.0,Prehistorical
kentut,"['k', 'e', 'n', 't', 'u', 't']",Indonesian,0.0,Prehistorical
buang angin,"['b', 'u', 'a', 'ŋ', '+', 'a', 'ŋ', 'i', 'n']",Indonesian,0.0,Modern
kencing,"['k', 'e', 'ɲ', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
bérak,"['b', 'é/e', 'r', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
bersetubuh,"['b', 'e', 'r', 's', 'e', 't', 'u', 'b', 'u', 'h']",Indonesian,0.0,Prehistorical
menggigil,"['m', 'e', 'ŋ', 'g', 'i', 'g', 'i', 'l']",Indonesian,0.0,Prehistorical
mandi,"['m', 'a', 'n', 'd', 'i']",Indonesian,0.0,Prehistorical
memperanakkan,"['m', 'e', 'm', 'p', 'e', 'r', 'a', 'n', 'a', 'k', 'k', 'a', 'n']",Indonesian,0.0,Early Malay
lahir,"['l', 'a', 'h', 'i', 'r']",Indonesian,1.0,Early Malay
hamil,"['h', 'a', 'm', 'i', 'l']",Indonesian,1.0,Early Malay
bunting,"['b', 'u', 'n', 't', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
mengandung,"['m', 'e', 'ŋ', 'a', 'n', 'd', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
hidup,"['h', 'i', 'd', 'u', 'p']",Indonesian,0.0,Prehistorical
mati,"['m', 'a', 't', 'i']",Indonesian,0.0,Prehistorical
tenggelam,"['t', 'e', 'ŋ', 'g', 'e', 'l', 'a', 'm']",Indonesian,0.0,Prehistorical
membunuh,"['m', 'e', 'm', 'b', 'u', 'n', 'u', 'h']",Indonesian,0.0,Prehistorical
mayat,"['m', 'a', 'j', 'a', 't']",Indonesian,1.0,Early Malay
jasad,"['dʒ', 'a', 's', 'a', 'd']",Indonesian,1.0,Early Malay
jenazah,"['dʒ', 'e', 'n', 'a', 'z', 'a', 'h']",Indonesian,1.0,Early Malay
mengubur(kan),"['m', 'e', 'ŋ', 'u', 'b', 'u', 'r', 'k', 'a', 'n']",Indonesian,1.0,Early Malay
"kubur, kuburan","['k', 'u', 'b', 'u', 'r']",Indonesian,1.0,Early Malay
makam,"['m', 'a', 'k', 'a', 'm']",Indonesian,1.0,Early Malay
kuat,"['k', 'u', 'a', 't']",Indonesian,0.75,Early Malay
lemah,"['l', 'e', 'm', 'a', 'h']",Indonesian,0.0,Prehistorical
séhat,"['s', 'é/e', 'h', 'a', 't']",Indonesian,1.0,Early Malay
sakit,"['s', 'a', 'k', 'i', 't']",Indonesian,0.0,Prehistorical
demam,"['d', 'e', 'm', 'a', 'm']",Indonesian,0.0,Prehistorical
gondok,"['g', 'o', 'n', 'd', 'o', 'ʔ']",Indonesian,0.5,Modern
flu,"['f', 'l', 'u']",Indonesian,1.0,Modern
pilek,"['p', 'i', 'l', 'e', 'ʔ']",Indonesian,1.0,Modern
"selesma, selésma","['s', 'e', 'l', 'e', 's', 'm', 'a']",Indonesian,1.0,Early Malay
masuk angin,"['m', 'a', 's', 'u', 'k', '+', 'a', 'ŋ', 'i', 'n']",Indonesian,0.5,Modern
luka,"['l', 'u', 'k', 'a']",Indonesian,0.0,Prehistorical
memar,"['m', 'e', 'm', 'a', 'r']",Indonesian,0.0,Prehistorical
bengkak,"['b', 'e', 'ŋ', 'k', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
(rasa) gatal,"['r', 'a', 's', 'a', '+', 'g', 'a', 't', 'a', 'l']",Indonesian,0.0,Prehistorical
lepuh,"['l', 'e', 'p', 'u', 'h']",Indonesian,0.0,Prehistorical
bisul,"['b', 'i', 's', 'u', 'l']",Indonesian,0.0,Prehistorical
nanah,"['n', 'a', 'n', 'a', 'h']",Indonesian,0.0,Prehistorical
parut,"['p', 'a', 'r', 'u', 't']",Indonesian,0.0,Prehistorical
meyembuhkan,"['m', 'e', 'j', 'e', 'm', 'b', 'u', 'h', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
dokter,"['d', 'o', 'k', 't', 'e', 'r']",Indonesian,1.0,Modern
obat,"['o', 'b', 'a', 't']",Indonesian,0.0,Prehistorical
racun,"['r', 'a', 'tʃ', 'u', 'n']",Indonesian,0.0,Prehistorical
"capék, capai","['tʃ', 'a', 'p', 'é/e', 'ʔ']",Indonesian,1.0,Modern
lelah,"['l', 'e', 'l', 'a', 'h']",Indonesian,0.0,Prehistorical
beristirahat,"['b', 'e', 'r', 'i', 's', 't', 'i', 'r', 'a', 'h', 'a', 't']",Indonesian,1.0,Early Malay
malas,"['m', 'a', 'l', 'a', 's']",Indonesian,0.0,Prehistorical
botak,"['b', 'o', 't', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
pincang,"['p', 'i', 'ɲ', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
tuli,"['t', 'u', 'l', 'i']",Indonesian,0.0,Prehistorical
budek,"['b', 'u', 'd', 'e', 'ʔ']",Indonesian,1.0,Modern
bisu,"['b', 'i', 's', 'u']",Indonesian,0.0,Prehistorical
buta,"['b', 'u', 't', 'a']",Indonesian,0.0,Prehistorical
mabuk,"['m', 'a', 'b', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
telanjang,"['t', 'e', 'l', 'a', 'ɲ', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
makan,"['m', 'a', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
makanan,"['m', 'a', 'k', 'a', 'n', 'a', 'n']",Indonesian,0.0,Prehistorical
masak,"['m', 'a', 's', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
mentah,"['m', 'e', 'n', 't', 'a', 'h']",Indonesian,0.0,Prehistorical
matang,"['m', 'a', 't', 'a', 'ŋ']",Indonesian,0.5,Early Malay
masak,"['m', 'a', 's', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
mentah,"['m', 'e', 'n', 't', 'a', 'h']",Indonesian,0.0,Prehistorical
basi,"['b', 'a', 's', 'i']",Indonesian,0.0,Prehistorical
busuk,"['b', 'u', 's', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
minum,"['m', 'i', 'n', 'u', 'm']",Indonesian,0.0,Prehistorical
lapar,"['l', 'a', 'p', 'a', 'r']",Indonesian,0.0,Prehistorical
kelaparan,"['k', 'e', 'l', 'a', 'p', 'a', 'r', 'a', 'n']",Indonesian,0.0,Prehistorical
paceklik,"['p', 'a', 'tʃ', 'e', 'k', 'l', 'i', 'ʔ']",Indonesian,1.0,Modern
haus,"['h', 'a', 'u', 's']",Indonesian,0.0,Prehistorical
meng(h)isap,"['m', 'e', 'ŋ', 'h', 'i', 's', 'a', 'p']",Indonesian,0.0,Prehistorical
mengunyah,"['m', 'e', 'ŋ', 'u', 'ɲ', 'a', 'h']",Indonesian,0.0,Prehistorical
mamah,"['m', 'a', 'm', 'a', 'h']",Indonesian,0.0,Prehistorical
menelan,"['m', 'e', 'n', 'e', 'l', 'a', 'n']",Indonesian,0.0,Prehistorical
mencekik,"['m', 'e', 'ɲ', 'e', 'k', 'i', 'ʔ']",Indonesian,0.0,Prehistorical
memasak,"['m', 'e', 'm', 'a', 's', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
mendidih,"['m', 'e', 'n', 'd', 'i', 'd', 'i', 'h']",Indonesian,0.0,Prehistorical
menggoréng,"['m', 'e', 'ŋ', 'g', 'o', 'r', 'é/e', 'ŋ']",Indonesian,0.0,Prehistorical
memanggang,"['m', 'e', 'm', 'a', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
memanggang,"['m', 'e', 'm', 'a', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
open,"['o', 'p', 'e', 'n']",Indonesian,1.0,Modern
tungku,"['t', 'u', 'ŋ', 'k', 'u']",Indonesian,0.0,Prehistorical
dapur,"['d', 'a', 'p', 'u', 'r']",Indonesian,0.0,Prehistorical
panci,"['p', 'a', 'ɲ', 'i']",Indonesian,0.75,Modern
periuk,"['p', 'e', 'r', 'i', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
belanga,"['b', 'e', 'l', 'a', 'ŋ', 'a']",Indonesian,0.0,Prehistorical
cérét,"['tʃ', 'é/e', 'r', 'é/e', 't']",Indonesian,1.0,Modern
téko,"['t', 'é/e', 'k', 'o']",Indonesian,1.0,Modern
cérék,"['tʃ', 'é/e', 'r', 'é/e', 'ʔ']",Indonesian,0.0,Prehistorical
penggoréngan,"['p', 'e', 'ŋ', 'g', 'o', 'r', 'é/e', 'ŋ', 'a', 'n']",Indonesian,0.75,Modern
panci (goréng),"['p', 'a', 'ɲ', 'i', '+', 'g', 'o', 'r', 'é/e', 'ŋ']",Indonesian,1.0,Modern
kuali,"['k', 'u', 'a', 'l', 'i']",Indonesian,0.75,Modern
wajan,"['w', 'a', 'dʒ', 'a', 'n']",Indonesian,1.0,Modern
piring,"['p', 'i', 'r', 'i', 'ŋ']",Indonesian,0.75,Early Malay
pinggan,"['p', 'i', 'ŋ', 'g', 'a', 'n']",Indonesian,1.0,Early Malay
piring,"['p', 'i', 'r', 'i', 'ŋ']",Indonesian,0.75,Early Malay
"mangkuk, mangkok","['m', 'a', 'ŋ', 'k', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
kendi,"['k', 'e', 'n', 'd', 'i']",Indonesian,0.75,Early Malay
picer,"['p', 'i', 'tʃ', 'e', 'r']",Indonesian,1.0,Modern
cangkir,"['tʃ', 'a', 'ŋ', 'k', 'i', 'r']",Indonesian,0.5,No information
gelas,"['g', 'e', 'l', 'a', 's']",Indonesian,1.0,Modern
cawan,"['tʃ', 'a', 'w', 'a', 'n']",Indonesian,1.0,Early Malay
alas cangkir,"['a', 'l', 'a', 's', '+', 'tʃ', 'a', 'ŋ', 'k', 'i', 'r']",Indonesian,0.0,Early Malay
séndok,"['s', 'é/e', 'n', 'd', 'o', 'ʔ']",Indonesian,0.75,Modern
pisau,"['p', 'i', 's', 'aʊ']",Indonesian,0.0,Prehistorical
garpu,"['g', 'a', 'r', 'p', 'u']",Indonesian,1.0,Modern
tang,"['t', 'a', 'ŋ']",Indonesian,1.0,Modern
sarapan,"['s', 'a', 'r', 'a', 'p', 'a', 'n']",Indonesian,1.0,Modern
makan pagi,"['m', 'a', 'k', 'a', 'n', '+', 'p', 'a', 'g', 'i']",Indonesian,0.0,Prehistorical
makan siang,"['m', 'a', 'k', 'a', 'n', '+', 's', 'i', 'a', 'ŋ']",Indonesian,0.0,Modern
makan malam,"['m', 'a', 'k', 'a', 'n', '+', 'm', 'a', 'l', 'a', 'm']",Indonesian,0.0,Prehistorical
mengupas,"['m', 'e', 'ŋ', 'u', 'p', 'a', 's']",Indonesian,0.0,Prehistorical
menyaring,"['m', 'e', 'ɲ', 'a', 'r', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
meniriskan,"['m', 'e', 'n', 'i', 'r', 'i', 's', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
mengerik,"['m', 'e', 'ŋ', 'e', 'r', 'i', 'ʔ']",Indonesian,0.0,Prehistorical
mengeruk,"['m', 'e', 'ŋ', 'e', 'r', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
mengaduk,"['m', 'e', 'ŋ', 'a', 'd', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
mencampur,"['m', 'e', 'ɲ', 'a', 'm', 'p', 'u', 'r']",Indonesian,0.0,Prehistorical
roti,"['r', 'o', 't', 'i']",Indonesian,1.0,Early Malay
adonan,"['a', 'd', 'o', 'n', 'a', 'n']",Indonesian,1.0,Modern
"meremas, meramas","['m', 'e', 'r', 'e', 'm', 'a', 's']",Indonesian,0.0,Prehistorical
tepung,"['t', 'e', 'p', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
menumbuk,"['m', 'e', 'n', 'u', 'm', 'b', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
menggiling,"['m', 'e', 'ŋ', 'g', 'i', 'l', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
menghancurkan,"['m', 'e', 'ŋ', 'h', 'a', 'ɲ', 'u', 'r', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
gilingan,"['g', 'i', 'l', 'i', 'ŋ', 'a', 'n']",Indonesian,0.0,Prehistorical
lesung,"['l', 'e', 's', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
alu,"['a', 'l', 'u']",Indonesian,0.0,Prehistorical
daging,"['d', 'a', 'g', 'i', 'ŋ']",Indonesian,0.5,Early Malay
sosis,"['s', 'o', 's', 'i', 's']",Indonesian,1.0,Modern
"sop, sup","['s', 'o', 'p']",Indonesian,1.0,Modern
soto,"['s', 'o', 't', 'o']",Indonesian,1.0,Modern
"sayur, sayuran","['s', 'a', 'j', 'u', 'r']",Indonesian,0.0,Prehistorical
kacang,"['k', 'a', 'tʃ', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
kentang,"['k', 'e', 'n', 't', 'a', 'ŋ']",Indonesian,1.0,Modern
buah,"['b', 'u', 'a', 'h']",Indonesian,0.0,Prehistorical
ikat,"['i', 'k', 'a', 't']",Indonesian,0.0,Prehistorical
gugus,"['g', 'u', 'g', 'u', 's']",Indonesian,0.0,Prehistorical
tandan,"['t', 'a', 'n', 'd', 'a', 'n']",Indonesian,0.0,Prehistorical
(buah) ara,"['b', 'u', 'a', 'h', '+', 'a', 'r', 'a']",Indonesian,0.0,Prehistorical
(buah) anggur,"['b', 'u', 'a', 'h', '+', 'a', 'ŋ', 'g', 'u', 'r']",Indonesian,1.0,Early Malay
kacang,"['k', 'a', 'tʃ', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
(buah) zaitun,"['b', 'u', 'a', 'h', '+', 'z', 'a', 'i', 't', 'u', 'n']",Indonesian,1.0,Early Malay
olive,"['o', 'l', 'i', 'v', 'e']",Indonesian,1.0,Modern
