value,segments,language,borrowing_score,age_label
dirgantara,"['d', 'i', 'r', 'g', 'a', 'n', 't', 'a', 'r', 'a']",Indonesian,1.0,Modern
"matahari, mentari","['m', 'a', 't', 'a', 'h', 'a', 'r', 'i']",Indonesian,0.0,Prehistorical
surya,"['s', 'u', 'r', 'j', 'a']",Indonesian,1.0,Early Malay
bulan,"['b', 'u', 'l', 'a', 'n']",Indonesian,0.0,Prehistorical
rembulan,"['r', 'e', 'm', 'b', 'u', 'l', 'a', 'n']",Indonesian,1.0,Modern
candra,"['tʃ', 'a', 'n', 'd', 'r', 'a']",Indonesian,1.0,Early Malay
bintang,"['b', 'i', 'n', 't', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
kartika,"['k', 'a', 'r', 't', 'i', 'k', 'a']",Indonesian,1.0,Early Malay
kilat,"['k', 'i', 'l', 'a', 't']",Indonesian,0.0,Prehistorical
guntur,"['g', 'u', 'n', 't', 'u', 'r']",Indonesian,0.5,Modern
guruh,"['g', 'u', 'r', 'u', 'h']",Indonesian,0.0,Prehistorical
"glédék, gelédék","['g', 'l', 'é/e', 'd', 'é/e', 'ʔ']",Indonesian,1.0,Modern
petir,"['p', 'e', 't', 'i', 'r']",Indonesian,0.0,Prehistorical
halilintar,"['h', 'a', 'l', 'i', 'l', 'i', 'n', 't', 'a', 'r']",Indonesian,0.0,Prehistorical
badai,"['b', 'a', 'd', 'aɪ']",Indonesian,1.0,Prehistorical
ribut,"['r', 'i', 'b', 'u', 't']",Indonesian,0.0,Prehistorical
pelangi,"['p', 'e', 'l', 'a', 'ŋ', 'i']",Indonesian,0.25,Early Malay
bianglala,"['b', 'i', 'a', 'ŋ', 'l', 'a', 'l', 'a']",Indonesian,1.0,Modern
cahaya,"['tʃ', 'a', 'h', 'a', 'j', 'a']",Indonesian,1.0,Early Malay
sinar,"['s', 'i', 'n', 'a', 'r']",Indonesian,0.0,Prehistorical
kegelapan,"['k', 'e', 'g', 'e', 'l', 'a', 'p', 'a', 'n']",Indonesian,0.0,Early Malay
kekelaman,"['k', 'e', 'k', 'e', 'l', 'a', 'm', 'a', 'n']",Indonesian,0.0,Prehistorical
kegelitaan,"['k', 'e', 'g', 'e', 'l', 'i', 't', 'aː', 'n']",Indonesian,0.0,Prehistorical
bayangan,"['b', 'a', 'j', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0,Prehistorical
bayang-bayang,"['b', 'a', 'j', 'a', 'ŋ', '+', 'b', 'a', 'j', 'a', 'ŋ']",Indonesian,0.0,Early Malay
naung,"['n', 'a', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
embun,"['e', 'm', 'b', 'u', 'n']",Indonesian,0.0,Prehistorical
ibun,"['i', 'b', 'u', 'n']",Indonesian,1.0,Modern
udara,"['u', 'd', 'a', 'r', 'a']",Indonesian,1.0,Early Malay
angin,"['a', 'ŋ', 'i', 'n']",Indonesian,0.0,Prehistorical
hawa,"['h', 'a', 'w', 'a']",Indonesian,1.0,Early Malay
angin,"['a', 'ŋ', 'i', 'n']",Indonesian,0.0,Prehistorical
bayu,"['b', 'a', 'j', 'u']",Indonesian,1.0,Early Malay
pawana,"['p', 'a', 'w', 'a', 'n', 'a']",Indonesian,1.0,Early Malay
awan,"['a', 'w', 'a', 'n']",Indonesian,0.0,Prehistorical
méga,"['m', 'é/e', 'g', 'a']",Indonesian,1.0,Early Malay
kabut,"['k', 'a', 'b', 'u', 't']",Indonesian,0.0,Prehistorical
halimun,"['h', 'a', 'l', 'i', 'm', 'u', 'n']",Indonesian,1.0,Modern
hujan,"['h', 'u', 'dʒ', 'a', 'n']",Indonesian,0.0,Prehistorical
salju,"['s', 'a', 'l', 'dʒ', 'u']",Indonesian,1.0,Early Malay
és,"['é/e', 's']",Indonesian,1.0,Modern
